Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual CO₂ emissions,Continent
Slovakia,SVK,1996,45965892.0,1939758.2,44026132.0,Europe
Slovenia,SVN,1996,13358401.0,-2641011.2,15999412.0,Europe
Solomon Islands,SLB,1996,1708523.1,1510667.1,197856.0,Oceania
Somalia,SOM,1996,13548117.0,12972869.0,575248.0,Africa
South Africa,ZAF,1996,439373900.0,75641550.0,363732320.0,Africa
South Korea,KOR,1996,414344670.0,-6651406.0,420996060.0,Asia
South Sudan,SSD,1996,48844176.0,48476810.0,367368.0,Africa
Spain,ESP,1996,237857710.0,-15640150.0,253497860.0,Europe
Sri Lanka,LKA,1996,22839728.0,15869150.0,6970579.0,Asia
Sudan,SDN,1996,46425936.0,42342244.0,4083693.0,Africa
Suriname,SUR,1996,3872341.2,1789827.2,2082514.0,South America
Sweden,SWE,1996,62953284.0,-427772.0,63381056.0,Europe
Switzerland,CHE,1996,44318890.0,219803.36,44099084.0,Europe
Syria,SYR,1996,46470936.0,-656772.0,47127708.0,Asia
Taiwan,TWN,1996,,,176794000.0,Asia
Tajikistan,TJK,1996,2323955.0,-499842.88,2823798.0,Asia
Tanzania,TZA,1996,58512410.0,55985700.0,2526706.0,Africa
Thailand,THA,1996,190086160.0,16520353.0,173565810.0,Asia
Togo,TGO,1996,15938136.0,14672965.0,1265171.0,Africa
Tonga,TON,1996,-10772.164,-87716.164,76944.0,Oceania
Trinidad and Tobago,TTO,1996,17678812.0,-779516.0,18458328.0,North America
Tunisia,TUN,1996,17678784.0,1059555.5,16619228.0,Africa
Turkey,TUR,1996,195111660.0,-4535043.0,199646700.0,Europe
Turkmenistan,TKM,1996,33650092.0,1995890.8,31654202.0,Asia
Turks and Caicos Islands,TCA,1996,,,69616.0,North America
Tuvalu,TUV,1996,3664.0,0.0,3664.0,Oceania
Uganda,UGA,1996,12960753.0,11942661.0,1018092.06,Africa
Ukraine,UKR,1996,354168300.0,2398601.0,351769700.0,Europe
United Arab Emirates,ARE,1996,75495144.0,82989.6,75412150.0,Asia
United Kingdom,GBR,1996,600160450.0,13399761.0,586760700.0,Europe
United States,USA,1996,5693196300.0,80213570.0,5612983000.0,North America
Uruguay,URY,1996,4495320.5,-909844.5,5405165.0,South America
Uzbekistan,UZB,1996,108125600.0,-58587.36,108184184.0,Asia
Vanuatu,VUT,1996,1972954.1,1888682.1,84272.0,Oceania
Venezuela,VEN,1996,129473780.0,11220524.0,118253256.0,South America
Vietnam,VNM,1996,160802910.0,125321410.0,35481510.0,Asia
Wallis and Futuna,WLF,1996,,,21984.0,Oceania
Yemen,YEM,1996,12794514.0,1491907.5,11302606.0,Asia
Zambia,ZMB,1996,50880744.0,49042748.0,1837995.0,Africa
Zimbabwe,ZWE,1996,63771310.0,48862410.0,14908902.0,Africa
